indicator_id,geography_id,outer_held_year,selected_penalty,hierarchical_slope_per_year
labor_force_participation,idn.13.1304,2019,1.0,0.559252291621558
labor_force_participation,idn.13.1305,2019,1.0,0.5248171134562819
labor_force_participation,idn.13.1306,2019,1.0,0.2230582051924455
labor_force_participation,idn.13.1307,2019,1.0,0.19320225371405284
labor_force_participation,idn.13.1308,2019,1.0,0.28437738639032323
labor_force_participation,idn.13.1309,2019,1.0,0.6339300778232256
labor_force_participation,idn.13.1310,2019,1.0,0.6590096835851678
labor_force_participation,idn.13.1311,2019,1.0,0.7387064235396787
labor_force_participation,idn.13.1312,2019,1.0,0.09250475560942739
labor_force_participation,idn.13.1371,2019,1.0,0.6359467571257277
labor_force_participation,idn.13.1372,2019,1.0,0.8583273484828154
labor_force_participation,idn.13.1373,2019,1.0,0.3222394030696264
labor_force_participation,idn.13.1374,2019,1.0,0.12052598381261137
labor_force_participation,idn.13.1375,2019,1.0,0.21709914529858435
labor_force_participation,idn.13.1376,2019,1.0,0.2557799641007087
labor_force_participation,idn.13.1377,2019,1.0,1.0036040732743252
labor_force_participation,idn.13.1301,2020,1.0,0.6277160435413475
labor_force_participation,idn.13.1302,2020,1.0,0.12464017204442546
labor_force_participation,idn.13.1303,2020,1.0,1.2211268432679376
labor_force_participation,idn.13.1304,2020,1.0,0.5256517920034114
labor_force_participation,idn.13.1305,2020,1.0,0.4969299874921346
labor_force_participation,idn.13.1306,2020,1.0,0.4352895226937748
labor_force_participation,idn.13.1307,2020,1.0,0.20149594784756797
labor_force_participation,idn.13.1308,2020,1.0,0.2273879505816767
labor_force_participation,idn.13.1309,2020,1.0,0.6625485794265152
labor_force_participation,idn.13.1310,2020,1.0,0.6502040818188594
labor_force_participation,idn.13.1311,2020,1.0,0.791120007997945
labor_force_participation,idn.13.1312,2020,1.0,0.17765452611140908
labor_force_participation,idn.13.1371,2020,1.0,0.7412362075878272
labor_force_participation,idn.13.1372,2020,1.0,1.0669368227621259
labor_force_participation,idn.13.1373,2020,1.0,0.3502040818188609
labor_force_participation,idn.13.1374,2020,1.0,0.09785958421120436
labor_force_participation,idn.13.1375,2020,1.0,0.42969827183936415
labor_force_participation,idn.13.1376,2020,1.0,0.2719128993171505
labor_force_participation,idn.13.1377,2020,1.0,0.6896982718393655
labor_force_participation,idn.13.1301,2021,1.0,0.5556063833784622
labor_force_participation,idn.13.1302,2021,1.0,0.18509172539800853
labor_force_participation,idn.13.1303,2021,1.0,1.0878930283296036
labor_force_participation,idn.13.1304,2021,1.0,0.47563244201038435
labor_force_participation,idn.13.1305,2021,1.0,0.44930019445338204
labor_force_participation,idn.13.1306,2021,1.0,0.3694695755608738
labor_force_participation,idn.13.1307,2021,1.0,0.12524807718953818
labor_force_participation,idn.13.1308,2021,1.0,0.19909824005598833
labor_force_participation,idn.13.1309,2021,1.0,0.5477627351699941
labor_force_participation,idn.13.1310,2021,1.0,0.6528962856585935
labor_force_participation,idn.13.1311,2021,1.0,0.7390461227921451
labor_force_participation,idn.13.1312,2021,1.0,0.1453392824012644
labor_force_participation,idn.13.1371,2021,1.0,0.7164272302840005
labor_force_participation,idn.13.1372,2021,1.0,1.0361927025967035
labor_force_participation,idn.13.1373,2021,1.0,0.3104988915217871
labor_force_participation,idn.13.1374,2021,1.0,-0.014191662224142743
labor_force_participation,idn.13.1375,2021,1.0,0.34540442898106755
labor_force_participation,idn.13.1376,2021,1.0,0.33176273516999355
